ID,Sección,Tipo,Referencia,Fecha,Estado de carga,Estatus según radar,Fuentes,Nota
RAD-073,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",DACG,Integración de SAEE al SEN,16 abr 2026,Cargado,Vigente; sustituye A/113/2024,https://sidof.segob.gob.mx/notas/5785045,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-074,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Formatos,Cogeneración,22 may 2026,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5788271 | https://sidof.segob.gob.mx/notas/docFuente/5788271,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-pendientes-2026-09-19/VERIFICACION.json."
RAD-075,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Formatos,SAEE,22 may 2026,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5788270,"Cargado el acuerdo de formatos SAEE con CNE_ELECTRICIDAD_09, 10 y 11, instrucciones, disposición de emisión y transitorio. Complementa RAD-073 y RAD-069."
RAD-076,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Metodología,Cargo de transmisión para permisos legados LSPEE,18 jun 2026,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5790939 | https://sidof.segob.gob.mx/notas/docFuente/5790939,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json. El transitorio Primero fija la entrada en vigor el 19 de octubre de 2026, posterior al corte. Se conserva el estado del radar como antecedente de la revisión, sin equipararlo a vigencia comprobada."
RAD-077,12.4 CENACE,Manual,Suspensión del Mercado de Energía de Corto Plazo,12 ene 2024,Cargado,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5714307 | https://sidof.segob.gob.mx/notas/docFuente/5714307,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-078,12.4 CENACE,Insumo de planeación,"PLADESE, PVIRCE y PAM",17 oct 2025,Cargado,CENACE participa como soporte técnico,https://sidof.segob.gob.mx/notas/5770297 | https://sidof.segob.gob.mx/notas/docFuente/5770297,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-planeacion-2026-09-19/VERIFICACION.json."
RAD-079,12.4 CENACE,Contrato modelo,Interconexión y conexión,17 mar 2026,Cargado,Aplicación operativa junto con CNE y CFE,https://sidof.segob.gob.mx/notas/5782317 | https://sidof.segob.gob.mx/notas/docFuente/5782317,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-080,12.4 CENACE,DACG,Mecanismos competitivos para confiabilidad,3 abr 2026,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5784027 | https://sidof.segob.gob.mx/notas/docFuente/5784027,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-081,12.4 CENACE,Aviso / programa,Programa Institucional CENACE 2026-2030,30 abr 2026,Cargado,Publicado por aviso,https://sidof.segob.gob.mx/notas/5786368 | https://sidof.segob.gob.mx/notas/docFuente/5786368 | https://dof.gob.mx/2026/CENACE/ProgramaInstitucional.pdf,"Cobertura completada el 20 de septiembre de 2026: aviso y programa completo en fichas vinculadas. El PDF oficial de 52 páginas aporta 32 apartados, 20 tablas con 429 celdas, cinco estrategias y cuatro indicadores completos. Sus apartados están vinculados al PDF remoto; mapas y gráficos se consultan en el original. No se certifica vigencia. Evidencia: incorporacion-cenace-2026-09-20/VERIFICACION.json."
RAD-082,12.4 CENACE,Marco regulatorio,Documentos de planeación y operación,Consulta permanente,Portal / colección,Portal institucional,https://www.cenace.gob.mx/,No equivale a un instrumento individual; seleccionar documentos concretos.
RAD-083,12.5 CFE,Modificación estatutaria,Estatuto Orgánico de la CFE,1 abr 2024,Antecedente o efectos limitados,Antecedente del régimen previo,https://sidof.segob.gob.mx/notas/5721854,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-084,12.5 CFE,Modificación estatutaria,CFE Suministrador de Servicios Básicos,16 may 2024,Antecedente o efectos limitados,Antecedente del régimen previo,https://sidof.segob.gob.mx/notas/5726910,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-085,12.5 CFE,Ley,"Ley de la Empresa Pública del Estado, CFE",18 mar 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5752329,Ley individual cargada; comparte la publicación 5752329 con el decreto compuesto RAD-003. No es un duplicado documental de todo el decreto.
RAD-086,12.5 CFE,Estatuto orgánico,"Empresa Pública del Estado, CFE",2 jun 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5758999,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-087,12.5 CFE,Plan,"PLADESE: alineación de programa, generación, transmisión y distribución",17 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5770297 | https://sidof.segob.gob.mx/notas/docFuente/5770297,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-planeacion-2026-09-19/VERIFICACION.json."
RAD-088,12.5 CFE,Reglamento,"Ley de la Empresa Pública del Estado, CFE",2 dic 2025,Cargado,Vigente con fe de erratas,https://sidof.segob.gob.mx/notas/5774837,Referencia repetida de RAD-015. Reglamento cargado con el artículo 68 corregido según la fe de erratas y un fragmento complementario que conserva esa publicación. PDF consolidado de Diputados cotejado.
RAD-089,12.5 CFE,Fe de erratas,Reglamento de CFE,29 dic 2025,Cargado,Integra texto aplicable,https://sidof.segob.gob.mx/notas/5777392,"Referencia repetida de RAD-016. Fe de erratas incorporada como documento complementario de RLEPECFE y aplicada al artículo 68. Es cobertura dentro del reglamento, no un instrumento adicional en el catálogo."
RAD-090,12.5 CFE,Decreto,Transparencia proactiva de filiales de CFE,4 ago 2026,Por cotejar e incorporar,Vigente desde 5 ago; criterios y publicación pendientes conforme a transitorios,https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=04082026-VES.pdf&repo=,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-091,12.5 CFE,Disposiciones generales,"Adquisiciones, arrendamientos, servicios y obras de la CFE",19 ago 2026,Cargado,Publicadas; vigentes desde 20 ago 2026,https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=19082026-MAT.pdf&repo= | https://sidof.segob.gob.mx/notas/docFuente/5796647,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-cierre-prioridades-2026-09-19/VERIFICACION.json."
RAD-180,12.5 CFE,Políticas,Impedimentos para considerar ofertas o celebrar contratos,18 sep 2026,Cargado,Publicadas; vigentes desde 19 sep 2026; abrogan las políticas de 2024,https://sidof.segob.gob.mx/notas/5799057 | https://sidof.segob.gob.mx/notas/docFuente/5799057,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-092,12.5 CFE,Portal,"Información corporativa, transmisión, distribución y suministro",Consulta permanente,Portal / colección,En operación,https://www.cfe.mx/,No equivale a un instrumento individual; seleccionar documentos concretos.
RAD-093,12.6 PEMEX e IMP,Aviso,Modificaciones a su Estatuto Orgánico,4 mar 2024,Antecedente o efectos limitados,Antecedente,https://sidof.segob.gob.mx/notas/5718916,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-094,12.6 PEMEX e IMP,Aviso,Modificación a su Estatuto Orgánico,5 abr 2024,Antecedente o efectos limitados,Antecedente,https://sidof.segob.gob.mx/notas/5722453,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-095,12.6 PEMEX e IMP,Estatuto orgánico,Estatuto del Instituto Mexicano del Petróleo,10 sep 2024,Antecedente o efectos limitados,**Abrogado a partir del 28 ago 2026**,https://sidof.segob.gob.mx/notas/5738636,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-096,12.6 PEMEX e IMP,Manual,Manual de Organización General,13 mar 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5751783,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-097,12.6 PEMEX e IMP,Ley,"Ley de la Empresa Pública del Estado, PEMEX",18 mar 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5752329,Ley individual cargada; comparte la publicación 5752329 con el decreto compuesto RAD-003. No es un duplicado documental de todo el decreto.
RAD-098,12.6 PEMEX e IMP,Aviso,Estatuto Orgánico de PEMEX,30 may 2025,Por cotejar e incorporar,Consultar versión y aviso posterior,https://sidof.segob.gob.mx/notas/5758825,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-099,12.6 PEMEX e IMP,Aviso,Estatuto Orgánico de PEMEX,12 sep 2025,Por cotejar e incorporar,Último aviso localizado,https://sidof.segob.gob.mx/notas/5767860,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-100,12.6 PEMEX e IMP,Reglamento,"Ley de la Empresa Pública del Estado, PEMEX",3 dic 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5775017,Referencia repetida de RAD-017. Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-101,12.6 PEMEX e IMP,Decreto,Transparencia proactiva de filiales de PEMEX,4 ago 2026,Por cotejar e incorporar,Vigente desde 5 ago; criterios y publicación pendientes conforme a transitorios,https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=04082026-VES.pdf&repo=,Referencia repetida de RAD-090. Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-102,12.6 PEMEX e IMP,Aviso / programa,Programa Institucional Estratégico IMP 2026-2030,10 jun 2026,Por cotejar e incorporar,Publicado por aviso,https://sidof.segob.gob.mx/notas/5790183,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-103,12.6 PEMEX e IMP,Estatuto orgánico,Estatuto Orgánico del Instituto Mexicano del Petróleo,27 ago 2026,Por cotejar e incorporar,Publicado; vigente desde el 28 ago 2026,https://sidof.segob.gob.mx/notas/5797266,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-104,12.6 PEMEX e IMP,Portal,Información corporativa y normativa,Consulta permanente,Portal / colección,En operación,https://www.pemex.com/,No equivale a un instrumento individual; seleccionar documentos concretos.
RAD-105,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo A/080/2023,Regularización en cesión de permisos de estaciones de servicio,12 ene 2024,Por cotejar e incorporar,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5714262,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-106,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo,"Importadores y cumplimiento de NOM-016-CRE-2016, calidad de petrolíferos",26 ene 2024,Por cotejar e incorporar,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5715317,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-107,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo,Modificación del Reglamento Interno de la CNH,31 ene 2024,Antecedente o efectos limitados,Antecedente; CNH extinguida,https://sidof.segob.gob.mx/notas/5715670,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-108,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo A/066/2023,Herramienta EnerGeoCRE para estaciones de petrolíferos y gas LP,19 feb 2024,Por cotejar e incorporar,Transición institucional,https://sidof.segob.gob.mx/notas/5717263,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-109,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",DACG,Participación cruzada en hidrocarburos,27 feb 2024,Por cotejar e incorporar,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5718108,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-110,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Modificación,"Seguros mínimos en transporte, almacenamiento, distribución y expendio",22 may 2024,Por cotejar e incorporar,Vigente/modificado,https://sidof.segob.gob.mx/notas/5727975,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-111,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo A/60/2024,Laboratorios extranjeros y equivalencia NOM-016-CRE-2016,16 ago 2024,Por cotejar e incorporar,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5736461,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-112,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo A/089/2024,Regularización por cambio de marca/productos en estaciones,30 ago 2024,Por cotejar e incorporar,Acto de regularización,https://sidof.segob.gob.mx/notas/5737709,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-113,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo A/090/2024,"Regularización de obligaciones de estaciones de petrolíferos, gas natural y gas LP",30 ago 2024,Por cotejar e incorporar,Ampliado en 2025,https://sidof.segob.gob.mx/notas/5737710,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-114,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Lineamientos,Construcción y mantenimiento de pozos,20 dic 2024,Por cotejar e incorporar,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5745908,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-115,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo,Simplificación en exploración y extracción,28 ene 2025,Por cotejar e incorporar,Transición institucional,https://sidof.segob.gob.mx/notas/5747885,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-116,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo A/169/2024,Amplía vigencia del programa de regularización A/090/2024,29 ene 2025,Por cotejar e incorporar,Acto temporal,https://sidof.segob.gob.mx/notas/5748017,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-117,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo,Registro de plantas de gas LP y estaciones de gasolinas/diésel/gas LP,7 mar 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5751221,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-118,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Lineamientos,"Investigación, desarrollo tecnológico e innovación en hidrocarburos",24 mar 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5752674,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-119,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Modificación,Expendio simultáneo de petrolíferos y/o gas natural,6 may 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5756445,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-120,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Modificación,"Transporte terrestre por ductos de petróleo, petrolíferos y petroquímicos",6 may 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5756444,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-121,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Modificación,Instalaciones de licuefacción de gas natural,21 may 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5757818,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-122,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Simplificación,Permiso de expendio al público en estación de petrolíferos,11 jul 2025,Por cotejar e incorporar,Vigente con formato posterior,https://sidof.segob.gob.mx/notas/5762728,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-123,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",NOM-020-ASEA-2024,Transporte de gas natural por ductos terrestres,1 sep 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5767026,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-124,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",NOM-019-ASEA-2024,Instalaciones de procesamiento de gas natural,2 sep 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5767064,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-125,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",DACG,"Balizado y GPS de transporte/distribución de petrolíferos, gas LP y petroquímicos",23 sep 2025,Por cotejar e incorporar,Modificado 3 dic 2025,https://sidof.segob.gob.mx/notas/5768321,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-126,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",NOM de emergencia,Transporte de gas LP,3 oct 2025,Por cotejar e incorporar,Prorrogada 1 abr 2026,https://sidof.segob.gob.mx/notas/5769160,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-127,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Formato,Solicitud simplificada para estaciones de petrolíferos,6 oct 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5769306,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-128,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Modificación,Balizado y GPS,3 dic 2025,Por cotejar e incorporar,Integra el texto aplicable,https://sidof.segob.gob.mx/notas/5775029,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-129,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo,Casos fortuitos y fuerza mayor en contratos de exploración y extracción,11 dic 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5775808,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-130,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Programa,Regularización extraordinaria de instalaciones de gasolinas y gas LP,24 dic 2025,Por cotejar e incorporar,Acto temporal,https://sidof.segob.gob.mx/notas/5777046,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-131,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo,Deja parcialmente insubsistente metodología anterior de precios máximos de gas LP,20 ene 2026,Antecedente o efectos limitados,Sustituida por nueva metodología,https://sidof.segob.gob.mx/notas/5778484,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-132,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Metodología,Precios máximos de gas LP a usuario final,21 ene 2026,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5778559,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-133,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo/formatos,"Actualización de parque vehicular en petrolíferos, gas LP y petroquímicos",12 mar 2026,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5782061,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-134,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Prórroga,"NOM-EM-006-ASEA-2025, transporte de gas LP",1 abr 2026,Por cotejar e incorporar,Prorrogada seis meses,https://sidof.segob.gob.mx/notas/5783846,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-135,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Programa,PRONAGAS: ordenamiento de instalaciones de gasolinas y gas LP,30 abr 2026,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5786354,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-136,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Programa institucional,Programa Institucional CENAGAS 2026-2030,12 jun 2026,Por cotejar e incorporar,Publicado,https://sidof.segob.gob.mx/notas/5790453,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-137,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Convocatoria,Renovación de representantes de personas usuarias y usuarias finales del Comité Consultivo del SISTRANGAS,14 ago 2026,Cargado,Recepción hasta 18 sep 2026; resultados a más tardar 2 oct 2026,https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=14082026-MAT.pdf&repo= | https://sidof.segob.gob.mx/notas/docFuente/5796317,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-cierre-prioridades-2026-09-19/VERIFICACION.json."
RAD-138,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Oficio de autorización,Montos por tres productos y 22 aprovechamientos de servicios de ASEA,13 jul 2026,Por cotejar e incorporar,Referencia operativa; no modifica la arquitectura sectorial,https://sidof.segob.gob.mx/notas/5793380,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-139,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Acuerdo / programa temporal,Registro de instalaciones con despacho para autoconsumo de petrolíferos sin permiso,11 ago 2026,Por cotejar e incorporar,Vigente; inscripción hasta 31 dic 2026; la constancia no constituye permiso,https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=11082026-MAT.pdf&repo=,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-140,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Plan,Plan de Desarrollo del Sector Hidrocarburos (PLADESHi),7 sep 2026,Cargado,Publicado y vigente; instrumento rector con escenarios 2025-2039,https://sidof.segob.gob.mx/notas/5798065 | https://sidof.segob.gob.mx/notas/docFuente/5798065,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-planeacion-2026-09-19/VERIFICACION.json."
RAD-141,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Portal,"SISTRANGAS, capacidad e información institucional",Consulta permanente,Portal / colección,En operación,https://www.gob.mx/cenagas,No equivale a un instrumento individual; seleccionar documentos concretos.
RAD-142,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Convocatoria NOM-015-ASEA-2023,Descompresión de gas natural comprimido,24 jul 2024,Cargado,,https://sidof.segob.gob.mx/notas/5734389 | https://sidof.segob.gob.mx/notas/docFuente/5734389,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-143,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Convocatoria NOM-018-ASEA-2023,Plantas de distribución de gas LP,30 jul 2024,Cargado,,https://sidof.segob.gob.mx/notas/5734780 | https://sidof.segob.gob.mx/notas/docFuente/5734780,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-144,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Convocatoria NOM-017-ASEA-2023,Instalaciones de almacenamiento de gas LP,14 ago 2024,Cargado,,https://sidof.segob.gob.mx/notas/5736163 | https://sidof.segob.gob.mx/notas/docFuente/5736163,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-145,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Convocatoria NOM-011-ASEA-2019,Bodegas de distribución y expendio de gas LP,25 sep 2024,Cargado,,https://sidof.segob.gob.mx/notas/5739627 | https://sidof.segob.gob.mx/notas/docFuente/5739627,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json. La publicación es una modificación de convocatoria, no la convocatoria original íntegra."
RAD-146,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Convocatoria,Terceros para dictamen de taponamiento de pozos,17 jul 2025,Cargado,,https://sidof.segob.gob.mx/notas/5763176 | https://sidof.segob.gob.mx/notas/docFuente/5763176,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-147,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Convocatoria NOM-019-ASEA-2024,Procesamiento de gas natural,23 dic 2025,Cargado,,https://sidof.segob.gob.mx/notas/5776908 | https://sidof.segob.gob.mx/notas/docFuente/5776908,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-148,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Convocatoria NOM-020-ASEA-2024,Transporte de gas natural por ductos,23 dic 2025,Cargado,,https://sidof.segob.gob.mx/notas/5776907 | https://sidof.segob.gob.mx/notas/docFuente/5776907,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-149,"12.7 Hidrocarburos: CNH, CNE, CENAGAS y ASEA",Consulta pública PROY-NOM-030-ASEA-2026,Distribución de gas LP mediante auto-tanque y vehículo de reparto; proyecto sujeto a 60 días naturales de comentarios,7 sep 2026,Proyecto / consulta,,https://sidof.segob.gob.mx/notas/5798063,No clasificar como NOM definitiva; comprobar estatus antes de cargar.
RAD-150,"12.8 CONUEE, eficiencia energética y transición",Manual,Manual de Organización General,11 jun 2024,Por cotejar e incorporar,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5730078,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-151,"12.8 CONUEE, eficiencia energética y transición",DACG,Electromovilidad e infraestructura de carga,10 sep 2024,Cargado,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5738646 | https://sidof.segob.gob.mx/notas/docFuente/5738646,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-152,"12.8 CONUEE, eficiencia energética y transición",DACG,"Eficiencia en inmuebles, flotas e instalaciones industriales APF 2025",12 mar 2025,Antecedente o efectos limitados,Aplicación 2025,https://sidof.segob.gob.mx/notas/5751673,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-153,"12.8 CONUEE, eficiencia energética y transición",NOM-004-ENER-2025,Conjuntos motor-bomba y motobombas,28 abr 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5755989,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
